IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,VALUE,PUBLIC_ID,SORTORDER
getNextPvId(),,,null,Kurdish,Ethnicity_PID,0
getNextPvId(),,,null,Kuwaiti,Ethnicity_PID,0
getNextPvId(),,,null,Lao,Ethnicity_PID,0
getNextPvId(),,,null,Latvian,Ethnicity_PID,0
getNextPvId(),3/1/9871,,null,Lebanese,Ethnicity_PID,0
getNextPvId(),8280/0,,null,Liberian,Ethnicity_PID,0
getNextPvId(),3/1/8280,,null,Libyan,Ethnicity_PID,0
getNextPvId(),3/1/8550,,null,Lithuanian,Ethnicity_PID,0
getNextPvId(),3/1/8551,,null,Luxembourg,Ethnicity_PID,0
getNextPvId(),3/1/8744,,null,Macedonian,Ethnicity_PID,0
getNextPvId(),3/1/9870,,null,Madurese,Ethnicity_PID,0
getNextPvId(),3/1/9805,,null,Mainland South-East Asian,Ethnicity_PID,0
getNextPvId(),3/1/9801,,null,Malawian,Ethnicity_PID,0
getNextPvId(),3/1/9828,,null,Malay,Ethnicity_PID,0
getNextPvId(),3/1/9910,,null,Malayali,Ethnicity_PID,0
getNextPvId(),3/1/9891,,null,Maldivian,Ethnicity_PID,0
getNextPvId(),3/1/9895,,null,Maltese,Ethnicity_PID,0
getNextPvId(),3/1/9861,,null,Manx,Ethnicity_PID,0
getNextPvId(),3/1/9911,,null,Maori,Ethnicity_PID,0
getNextPvId(),3/1/9869,,null,Maritime South-East Asian,Ethnicity_PID,0
getNextPvId(),3/1/9874,,null,Masai,Ethnicity_PID,0
getNextPvId(),3/1/9865,,null,Mauritian,Ethnicity_PID,0
getNextPvId(),3/1/9873,,null,Mayan,Ethnicity_PID,0
getNextPvId(),3/1/9897,,null,Melanesian and Papuan,Ethnicity_PID,0
getNextPvId(),3/1/9840,,null,Mexican,Ethnicity_PID,0
getNextPvId(),3/1/9872,,null,Micronesian,Ethnicity_PID,0
getNextPvId(),3/1/9896,,null,Moldovan,Ethnicity_PID,0
getNextPvId(),3/1/9867,,null,Mongolian,Ethnicity_PID,0
getNextPvId(),3/1/9931,,null,Montenegrin,Ethnicity_PID,0
getNextPvId(),3/1/9866,,null,Montenegrin,Ethnicity_PID,0
getNextPvId(),3/1/9261,,null,Moroccan,Ethnicity_PID,0
getNextPvId(),1/1/9351,,null,Mozambican,Ethnicity_PID,0
getNextPvId(),2/1/8221,,null,Native American Indian,Ethnicity_PID,0
getNextPvId(),3/1/8245,,null,Nauruan,Ethnicity_PID,0
getNextPvId(),3/1/8220,,null,Nepalese,Ethnicity_PID,0
getNextPvId(),3/1/8210,,null,New Caledonian,Ethnicity_PID,0
getNextPvId(),3/1/8221,,null,New Zealander,Ethnicity_PID,0
getNextPvId(),2/1/8140,,null,Nicaraguan,Ethnicity_PID,0
getNextPvId(),2/1/8210,,null,Nigerian,Ethnicity_PID,0
getNextPvId(),2/1/8220,,null,Niuean,Ethnicity_PID,0
getNextPvId(),2/1/8263,,null,Ni-Vanuatu,Ethnicity_PID,0
getNextPvId(),2/1/8261,,null,North American,Ethnicity_PID,0
getNextPvId(),3/1/8263,,null,Northern European,Ethnicity_PID,0
getNextPvId(),3/1/8261,,null,Norwegian,Ethnicity_PID,0
getNextPvId(),3/1/8215,,null,Nuer,Ethnicity_PID,0
getNextPvId(),3/1/8571,,null,Oromo,Ethnicity_PID,0
getNextPvId(),3/1/8573,,null,Other Middle Eastern,Ethnicity_PID,0
getNextPvId(),3/1/8255,,null,Other North African,Ethnicity_PID,0
getNextPvId(),3/1/8574,,null,Other North-East Asian,Ethnicity_PID,0
getNextPvId(),3/1/8572,,null,Pakistani,Ethnicity_PID,0
getNextPvId(),3/1/8570,,null,Palestinian,Ethnicity_PID,0
getNextPvId(),3/1/8384,,null,Papua New Guinean,Ethnicity_PID,0
getNextPvId(),3/1/8144,,null,Paraguayan,Ethnicity_PID,0
getNextPvId(),3/1/8140,,null,Pathan,Ethnicity_PID,0
getNextPvId(),3/1/8098,,null,Peruvian,Ethnicity_PID,0
getNextPvId(),3/1/8200,,null,Polish,Ethnicity_PID,0
getNextPvId(),8140/0,,null,Polynesian,Ethnicity_PID,0
getNextPvId(),3/1/8933,,null,Portuguese,Ethnicity_PID,0
getNextPvId(),3/1/8560,,null,Puerto Rican,Ethnicity_PID,0
getNextPvId(),3/1/8370,,null,Punjabi,Ethnicity_PID,0
getNextPvId(),3/1/9827,,null,Roma/Gypsy,Ethnicity_PID,0
getNextPvId(),3/1/9948,,null,Romanian,Ethnicity_PID,0
getNextPvId(),3/1/9737,,null,Russian,Ethnicity_PID,0
getNextPvId(),3/1/8251,,null,Salvadoran,Ethnicity_PID,0
getNextPvId(),3/1/8920,,null,Samoan,Ethnicity_PID,0
getNextPvId(),3/1/9581,,null,Saudi Arabian,Ethnicity_PID,0
getNextPvId(),3/1/8730,,null,Scottish,Ethnicity_PID,0
getNextPvId(),3/1/9330,,null,Serbian,Ethnicity_PID,0
getNextPvId(),3/1/9290,,null,Seychllois,Ethnicity_PID,0
getNextPvId(),3/1/9310,,null,Sierra Leonean,Ethnicity_PID,0
getNextPvId(),3/1/9714,,null,Sikh,Ethnicity_PID,0
getNextPvId(),3/1/8630,,null,Singaporean,Ethnicity_PID,0
getNextPvId(),3/1/9705,,null,Sinhalese,Ethnicity_PID,0
getNextPvId(),8861/0,,null,Slovak,Ethnicity_PID,0
getNextPvId(),9534/0,,null,Slovene,Ethnicity_PID,0
getNextPvId(),3/1/8894,,null,Solomon Islander,Ethnicity_PID,0
getNextPvId(),3/1/8691,,null,Somali,Ethnicity_PID,0
getNextPvId(),3/1/8401,,null,Sorb/Wend,Ethnicity_PID,0
getNextPvId(),3/1/9365,,null,South African,Ethnicity_PID,0
getNextPvId(),3/1/9430,,null,South American,Ethnicity_PID,0
getNextPvId(),3/1/9401,,null,South Eastern European,Ethnicity_PID,0
getNextPvId(),3/1/9400,,null,Southern and East African,Ethnicity_PID,0
getNextPvId(),3/1/8249,,null,Southern Asian,Ethnicity_PID,0
getNextPvId(),1/1/9390,,null,Southern European,Ethnicity_PID,0
getNextPvId(),3/1/9876,,null,Spanish,Ethnicity_PID,0
getNextPvId(),1/1/8850,,null,Sudanese,Ethnicity_PID,0
getNextPvId(),3/1/8513,,null,Sundanese,Ethnicity_PID,0
getNextPvId(),1/1/9539,,null,Swedish,Ethnicity_PID,0
getNextPvId(),3/1/9508,,null,Swiss,Ethnicity_PID,0
getNextPvId(),3/1/9817,,null,Syrian,Ethnicity_PID,0
getNextPvId(),3/1/9815,,null,Tahitian,Ethnicity_PID,0
getNextPvId(),3/1/9811,,null,Taiwanese,Ethnicity_PID,0
getNextPvId(),3/1/8722,,null,Tajik,Ethnicity_PID,0
getNextPvId(),3/1/8147,,null,Tamil,Ethnicity_PID,0
getNextPvId(),3/1/8093,,null,Tanzanian,Ethnicity_PID,0
getNextPvId(),3/1/8097,,null,Tara,Ethnicity_PID,0
getNextPvId(),3/1/8090,,null,Temoq,Ethnicity_PID,0
getNextPvId(),3/1/8123,,null,Thai,Ethnicity_PID,0
getNextPvId(),3/1/8083,,null,Tibetan,Ethnicity_PID,0
getNextPvId(),8300/0,,null,Tigrayan,Ethnicity_PID,0
getNextPvId(),3/1/8300,,null,Tigre,Ethnicity_PID,0
getNextPvId(),3/1/8094,,null,Timorese,Ethnicity_PID,0
getNextPvId(),3/1/8161,,null,Tokelauan,Ethnicity_PID,0
getNextPvId(),3/1/8780,,null,Tongan,Ethnicity_PID,0
getNextPvId(),2/1/8081,,null,Torres Straight Islander,Ethnicity_PID,0
getNextPvId(),3/1/9000,,null,Trinidadian,Ethnicity_PID,0
getNextPvId(),3/1/8254,,null,Tunisian,Ethnicity_PID,0
getNextPvId(),3/1/8250,,null,Turkish,Ethnicity_PID,0
getNextPvId(),3/1/8253,,null,Turkmen,Ethnicity_PID,0
getNextPvId(),3/1/8252,,null,Tuvaluan,Ethnicity_PID,0
getNextPvId(),3/1/9826,,null,Ugandan,Ethnicity_PID,0
getNextPvId(),3/1/9687,,null,Uighur,Ethnicity_PID,0
getNextPvId(),9131/0,,null,Ukarinian,Ethnicity_PID,0
getNextPvId(),3/1/8934,,null,Uruguayan,Ethnicity_PID,0
getNextPvId(),3/1/8240,,null,Uzbek,Ethnicity_PID,0
getNextPvId(),3/1/8941,,null,Venezuelan,Ethnicity_PID,0
getNextPvId(),2/1/8010,,null,Vietnamese,Ethnicity_PID,0
getNextPvId(),3/1/8589,,null,Vlach,Ethnicity_PID,0
getNextPvId(),3/1/8231,,null,Welsh,Ethnicity_PID,0
getNextPvId(),3/1/8035,,null,Western European,Ethnicity_PID,0
getNextPvId(),3/1/8021,,null,Yemeni,Ethnicity_PID,0
getNextPvId(),3/1/8145,,null,Yoruba,Ethnicity_PID,0
getNextPvId(),3/1/8010,,null,Zambian,Ethnicity_PID,0
getNextPvId(),3/1/8020,,null,Zimbabwean,Ethnicity_PID,0
getNextPvId(),3/1/8981,,null,Zulu,Ethnicity_PID,0
